French,English
partie,part
histoire,history
police,police
aide,help
demande,request
genre,kind
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
donner,give
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
perdu,lost
main,hand
première,first
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
mis,placed
droit,law
aimerais,would like to
mari,husband
cause,cause
espère,hope
eau,water
parti,left
boulot,job
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
filles,girls
jouer,to play
bureau,office
